station,total_records,date_range,years_covered,avg_hourly_radiation_w,max_hourly_radiation_w,median_hourly_radiation_w,annual_avg_kwh_m2,annual_min_kwh_m2,annual_max_kwh_m2,monthly_avg_kwh_m2,winter_avg_kwh_m2,spring_avg_kwh_m2,summer_avg_kwh_m2,autumn_avg_kwh_m2,avg_peak_sun_hours_per_day
Tingvoll,87305,2015-12-12 to 2025-12-09,9.990417522245037,91.85101769658095,901.0,3.2,729.0048272727272,0.7339,836.7181,668.254425,7.960657575757576,90.04207878787878,114.72924242424243,30.269630303030304,4.057354555433589
Brusdalen,46187,2020-01-20 to 2025-12-09,5.883641341546886,84.54943447290363,939.95,0.0,650.847455,542.47169,692.64727,325.4237275,5.123991111111112,82.87902944444444,104.44327944444444,24.50285166666667,3.6003009027081245
Surnadal-Sylte,85451,2015-12-12 to 2025-12-09,9.990417522245037,88.0735801804543,1176.0,2.1,684.1795909090908,0.3857,793.6312,627.164625,6.195875757575758,82.49768484848485,111.68158787878788,27.68471515151515,3.8940879798262817
Linge,86427,2015-12-12 to 2025-12-09,9.990417522245037,94.19036180823122,999.0,3.7,740.0536727272728,1.0103,904.3014,678.3825333333334,7.6863515151515145,96.4576303030303,113.49467575757576,29.0459,4.005530973451328
Vigra,1,2022-11-23 to 2022-11-23,0.0,93.1,93.1,93.1,0.09309999999999999,0.09309999999999999,0.09309999999999999,0.09309999999999999,0.0,0.0,0.0,0.03103333333333333,0.0
